case,n,algorithm,repeat,time_us,char_ops
random,100,std_quick_sort,1,48,15789
random,100,std_quick_sort,2,29,15789
random,100,std_quick_sort,3,34,15789
random,100,std_quick_sort,4,25,15789
random,100,std_quick_sort,5,21,15789
random,100,std_quick_sort,6,21,15789
random,100,std_quick_sort,7,21,15789
random,100,std_merge_sort,1,122,603
random,100,std_merge_sort,2,82,603
random,100,std_merge_sort,3,78,603
random,100,std_merge_sort,4,79,603
random,100,std_merge_sort,5,75,603
random,100,std_merge_sort,6,75,603
random,100,std_merge_sort,7,72,603
random,100,string_quick_sort,1,7,719
random,100,string_quick_sort,2,5,719
random,100,string_quick_sort,3,3,719
random,100,string_quick_sort,4,2,719
random,100,string_quick_sort,5,2,719
random,100,string_quick_sort,6,2,719
random,100,string_quick_sort,7,2,719
random,100,string_merge_sort,1,85,603
random,100,string_merge_sort,2,80,603
random,100,string_merge_sort,3,79,603
random,100,string_merge_sort,4,75,603
random,100,string_merge_sort,5,81,603
random,100,string_merge_sort,6,72,603
random,100,string_merge_sort,7,70,603
random,100,msd_radix_sort,1,61,177
random,100,msd_radix_sort,2,45,177
random,100,msd_radix_sort,3,42,177
random,100,msd_radix_sort,4,42,177
random,100,msd_radix_sort,5,41,177
random,100,msd_radix_sort,6,40,177
random,100,msd_radix_sort,7,40,177
random,100,msd_radix_quick_sort,1,11,200
random,100,msd_radix_quick_sort,2,10,200
random,100,msd_radix_quick_sort,3,9,200
random,100,msd_radix_quick_sort,4,9,200
random,100,msd_radix_quick_sort,5,9,200
random,100,msd_radix_quick_sort,6,9,200
random,100,msd_radix_quick_sort,7,9,200
random,200,std_quick_sort,1,44,31515
random,200,std_quick_sort,2,38,31515
random,200,std_quick_sort,3,36,31515
random,200,std_quick_sort,4,35,31515
random,200,std_quick_sort,5,34,31515
random,200,std_quick_sort,6,34,31515
random,200,std_quick_sort,7,34,31515
random,200,std_merge_sort,1,203,1505
random,200,std_merge_sort,2,183,1505
random,200,std_merge_sort,3,178,1505
random,200,std_merge_sort,4,174,1505
random,200,std_merge_sort,5,180,1505
random,200,std_merge_sort,6,174,1505
random,200,std_merge_sort,7,171,1505
random,200,string_quick_sort,1,13,1583
random,200,string_quick_sort,2,10,1583
random,200,string_quick_sort,3,7,1583
random,200,string_quick_sort,4,6,1583
random,200,string_quick_sort,5,5,1583
random,200,string_quick_sort,6,5,1583
random,200,string_quick_sort,7,5,1583
random,200,string_merge_sort,1,186,1505
random,200,string_merge_sort,2,183,1505
random,200,string_merge_sort,3,180,1505
random,200,string_merge_sort,4,178,1505
random,200,string_merge_sort,5,177,1505
random,200,string_merge_sort,6,177,1505
random,200,string_merge_sort,7,185,1505
random,200,msd_radix_sort,1,98,398
random,200,msd_radix_sort,2,132,398
random,200,msd_radix_sort,3,95,398
random,200,msd_radix_sort,4,87,398
random,200,msd_radix_sort,5,115,398
random,200,msd_radix_sort,6,137,398
random,200,msd_radix_sort,7,94,398
random,200,msd_radix_quick_sort,1,23,515
random,200,msd_radix_quick_sort,2,21,515
random,200,msd_radix_quick_sort,3,20,515
random,200,msd_radix_quick_sort,4,20,515
random,200,msd_radix_quick_sort,5,23,515
random,200,msd_radix_quick_sort,6,30,515
random,200,msd_radix_quick_sort,7,30,515
random,300,std_quick_sort,1,76,46707
random,300,std_quick_sort,2,82,46707
random,300,std_quick_sort,3,66,46707
random,300,std_quick_sort,4,60,46707
random,300,std_quick_sort,5,58,46707
random,300,std_quick_sort,6,61,46707
random,300,std_quick_sort,7,57,46707
random,300,std_merge_sort,1,328,2538
random,300,std_merge_sort,2,306,2538
random,300,std_merge_sort,3,296,2538
random,300,std_merge_sort,4,350,2538
